canonical_id,source_ids,name,name_core,city_canonical,state_code,display_address,postal_code,google_place_id,latitude,longitude,geohash7,price_point,primary_type,region_hint,website,website_raw,cuisine,cuisine_secondary,ambiance,intimacy,quietness,dining_experience,cuisine_fit,romance_score,_needs_llm_cuisine,_needs_llm_romance,_quality_flags,dedup_confidence,dedup_tier,romance_rationale
67551,"67551,108762",The Hanare Sushi,hanare sushi,Los Angeles,CA,"2930 Bristol St, Costa Mesa, CA 92626",92626,ChIJ62DBzxvf3IAREwjxJY9D6BM,33.676964,-117.88541075,9mupt6w,high,sushi_restaurant,,http://hanaresushi.com,http://www.hanaresushi.com,Japanese,Sushi,8,8,8,9,8,82,false,false,"",0.9299999999999999,A,
100515,100515,Sushi Horiuchi,sushi horiuchi,Houston,TX,"2701 W Dallas St, Houston, TX 77019",77019,ChIJVbEabgDBQIYRsd4OW6hQeic,29.7572039,-95.3950357,9vk1m1p,high,japanese_restaurant,,http://sushi-horiuchi.com,http://www.sushi-horiuchi.com/,Japanese,,8,8,8,9,8,82,false,false,"",1.0,singleton,
69425,69425,Folk,folk,Nashville,TN,"823 Meridian St, Nashville, TN 37207",37207,ChIJERh-40NnZIgRbO9_7R21HJA,36.1855645,-86.7679768,dn6mce3,medium,american_restaurant,,https://goodasfolk.com,https://www.goodasfolk.com,American,,6,5,5,6,5,55,false,false,"",1.0,singleton,
70148,70148,Le Comptoir,le comptoir,Los Angeles,CA,"3606 W 6th St, Los Angeles, CA 90020",90020,ChIJH4sHtIK4woARiZb4-XmwTsM,34.0634619,-118.3006932,9q5cu10,high,french_restaurant,,http://lecomptoirla.com,http://www.lecomptoirla.com,French,,9,8,7,9,9,85,false,false,"",1.0,singleton,
108037,108037,Asakura,asakura,Los Angeles,CA,"11901 Santa Monica Blvd #111, Los Angeles, CA 90025",11901,ChIJgUztncy7woARoknXEcsYvfg,34.0419248,-118.4608652,9q5c8m5,high,kaiseki_restaurant,,https://asakura.la,https://asakura.la/,Japanese,Kaiseki,9,9,9,9,9,90,false,false,"",1.0,singleton,
10546,10546,Blue Hill,blue hill,New York City,NY,"75 Washington Pl, New York, NY 10011",10011,ChIJi9BURJFZwokRDcqvIgxdXds,40.732064,-73.9996931,dr5rsp5,high,american_restaurant,,https://bluehillfarm.com/dine/new-york,https://www.bluehillfarm.com/dine/new-york,American,,7,6,6,8,5,65,false,false,"",1.0,singleton,
15251,15251,Kappo Masa,kappo masa,New York City,NY,"976 Madison Ave, New York, NY 10075",10075,ChIJ9w07X5RYwokR5eolQAZ49C4,40.7746468,-73.9635315,dr5ruyv,high,japanese_restaurant,,https://kappomasanyc.com,https://www.kappomasanyc.com,Japanese,,8,8,8,9,8,82,false,false,"",1.0,singleton,
97372,97372,Copine,copine,Seattle,WA,"6460 24th Ave NW, Seattle, WA 98107",98107,ChIJu-q9V9AVkFQRBXOOMahzKeo,47.6756873,-122.3872603,c22zpp0,high,new_american_restaurant,,http://copineseattle.com,http://copineseattle.com/,American,New American,8,7,7,8,7,75,false,false,"",1.0,singleton,
68414,68414,The Shota,shota,San Francisco Bay Area,CA,"115 Sansome St, San Francisco, CA 94104",94104,ChIJAzG8hXmBhYARQ1Mw5xW5Lfo,37.7914251,-122.4010378,9q8yyxw,high,sushi_restaurant,,https://theshotasf.com,https://www.theshotasf.com,Japanese,Sushi,8,8,8,9,8,82,false,false,"",1.0,singleton,
15252,15252,Cafe Boulud,cafe boulud,New York City,NY,,,ChIJCcAxi5RYwokRdUqdw5_FHIk,40.77444,-73.96396,dr5ruyv,high,french_restaurant,,https://cafeboulud.com/nyc,https://www.cafeboulud.com/nyc,French,,9,8,7,9,9,85,false,false,missing_address,1.0,singleton,
